"Wavelength; µm","n"
0.2214,1.4237
0.22242,1.4464
0.22345,1.4711
0.22448,1.4978
0.22553,1.5267
0.22659,1.5582
0.22765,1.5925
0.22873,1.6297
0.22981,1.6704
0.23091,1.7147
0.23202,1.7631
0.23314,1.8158
0.23427,1.8735
0.23541,1.9363
0.23656,2.0049
0.23772,2.0796
0.23889,2.1607
0.24008,2.2487
0.24128,2.3437
0.24249,2.4458
0.24371,2.5549
0.24494,2.6705
0.24619,2.792
0.24745,2.9184
0.24872,3.0482
0.25,3.1797
0.2513,3.311
0.25261,3.4402
0.25394,3.5655
0.25528,3.6854
0.25663,3.7992
0.258,3.9065
0.25939,4.0077
0.26078,4.1035
0.2622,4.1942
0.26363,4.2798
0.26507,4.3583
0.26653,4.4266
0.26801,4.4802
0.2695,4.5155
0.27101,4.5307
0.27254,4.5267
0.27408,4.5065
0.27564,4.4738
0.27722,4.4324
0.27882,4.3854
0.28044,4.3354
0.28207,4.2841
0.28373,4.233
0.2854,4.1834
0.28709,4.1364
0.28881,4.0937
0.29054,4.0578
0.2923,4.0327
0.29407,4.0255
0.29587,4.047
0.29769,4.1111
0.29954,4.2293
0.3014,4.3953
0.30329,4.573
0.30521,4.7129
0.30714,4.7926
0.30911,4.8263
0.31109,4.8436
0.31311,4.8714
0.31515,4.927
0.31721,5.0094
0.31931,5.0937
0.32143,5.1445
0.32358,5.1442
0.32576,5.1001
0.32797,5.0298
0.3302,4.9482
0.33247,4.8644
0.33477,4.783
0.33711,4.7063
0.33947,4.6347
0.34187,4.5685
0.3443,4.5073
0.34677,4.4508
0.34928,4.3985
0.35182,4.35
0.35439,4.3051
0.35701,4.2633
0.35966,4.2243
0.36236,4.188
0.36509,4.1541
0.36787,4.1225
0.37069,4.0928
0.37355,4.0651
0.37645,4.0391
0.37941,4.0148
0.38241,3.9919
0.38545,3.9704
0.38855,3.939
0.39169,3.9102
0.39489,3.8858
0.39814,3.8636
0.40145,3.843
0.4048,3.8225
0.40822,3.7968
0.41169,3.7615
0.41523,3.7313
0.41882,3.7068
0.42248,3.6782
0.4262,3.6505
0.42999,3.625
0.43385,3.6011
0.43777,3.5786
0.44177,3.5571
0.44584,3.5366
0.44999,3.5169
0.45421,3.498
0.45852,3.4798
0.46291,3.4622
0.46738,3.4452
0.47194,3.4287
0.47659,3.4128
0.48133,3.3973
0.48616,3.3823
0.4911,3.3677
0.49614,3.3535
0.50128,3.3398
0.50653,3.3264
0.51188,3.3133
0.51736,3.3006
0.52295,3.2883
0.52867,3.2762
0.53451,3.2645
0.54048,3.253
0.54659,3.2418
0.55283,3.2309
0.55922,3.2203
0.56576,3.2099
0.57246,3.1997
0.57931,3.1898
0.58633,3.1802
0.59353,3.1707
0.6009,3.1615
0.60846,3.1525
0.61621,3.1437
0.62416,3.135
0.63231,3.1266
0.64069,3.1184
0.64929,3.1103
0.65812,3.1025
0.66719,3.0948
0.67652,3.0872
0.68612,3.0799
0.69599,3.0727
0.70615,3.0656
0.71661,3.0587
0.72738,3.052
0.73849,3.0454
0.74993,3.039
0.76174,3.0326
0.77393,3.0265
0.78651,3.0204
0.79951,3.0146
0.81294,3.0088
0.82684,3.0031
0.84122,2.9976
0.8561,2.9922
0.87152,2.987
0.88751,2.9818
0.9041,2.9768
0.92132,2.9719
0.9392,2.967
0.9578,2.9623
0.97714,2.9578
0.99729,2.9533
1.0183,2.9489
1.0402,2.9446
1.063,2.9405
1.0869,2.9364
1.1119,2.9324
1.138,2.9285
1.1655,2.9248
1.1942,2.9211
1.2245,2.9175
1.2563,2.914
1.2897,2.9106
1.3251,2.9073
1.3624,2.9041
1.4019,2.9009
1.4437,2.8979
1.4881,2.8949
1.5353,2.892
1.5857,2.8893
1.6394,2.8865
1.6969,2.8839
1.7586,2.8814
1.8249,2.8789
1.8965,2.8765
1.9738,2.8742
2.0578,2.872
2.1492,2.8699
2.2491,2.8678
2.3588,2.8658
2.4797,2.8639
