"Wavelength; µm","n"
0.2066,1.385
0.2101,1.37
0.2138,1.37
0.2175,1.389
0.2214,1.422
0.2254,1.475
0.2296,1.553
0.2339,1.661
0.2384,1.805
0.2431,2.007
0.248,2.304
0.253,2.74
0.2583,3.221
0.2638,3.762
0.2695,4.12
0.2755,4.127
0.2818,4.015
0.2883,3.903
0.2952,3.815
0.3024,3.758
0.31,3.729
0.3179,3.725
0.3263,3.75
0.3351,3.822
0.3444,3.977
0.3542,4.224
0.3647,4.429
0.3757,4.665
0.3875,4.649
0.3999,4.497
0.4133,4.343
0.4275,4.208
0.4428,4.092
0.4592,3.992
0.4769,3.909
0.4959,3.837
0.5166,3.758
0.5391,3.69
0.5636,3.658
0.5904,3.546
0.6199,3.467
0.6525,3.405
0.6888,3.354
0.7293,3.313
0.7749,3.274
0.8266,3.237
