"Wavelength; µm","n"
0.2066,1.023
0.2101,1.108
0.2138,1.209
0.2175,1.31
0.2214,1.36
0.2254,1.38
0.2296,1.383
0.2339,1.371
0.2384,1.364
0.2431,1.37
0.248,1.394
0.253,1.435
0.2583,1.498
0.2638,1.586
0.2695,1.72
0.2755,1.953
0.2818,2.516
0.2883,3.338
0.2952,3.745
0.3024,3.869
0.31,3.905
0.3179,3.92
0.3263,3.936
0.3351,3.958
0.3444,3.985
0.3542,4.02
0.3647,4.07
0.3757,4.128
0.3875,4.157
0.3999,4.141
0.4133,4.082
0.4275,4.037
0.4428,4.035
0.4592,4.082
0.4769,4.18
0.4959,4.34
0.5166,4.61
0.5391,5.062
0.5636,5.283
0.5904,5.748
0.6199,5.588
0.6525,5.294
0.6888,5.067
0.7293,4.897
0.7749,4.763
0.8266,4.653
