"Wavelength µm","n"
0.0299714,0.902641
0.0302711,0.90136
0.0305738,0.90007
0.0308795,0.898776
0.0311882,0.89748
0.0315001,0.896181
0.0318151,0.894879
0.0321332,0.893574
0.0324545,0.892272
0.032779,0.890978
0.0331067,0.889702
0.0334378,0.888465
0.0337721,0.887297
0.0341098,0.886214
0.0344509,0.885174
0.0347954,0.883982
0.0351433,0.882511
0.0354947,0.880785
0.0358496,0.878678
0.036208,0.876481
0.0365701,0.874556
0.0369358,0.872787
0.0373051,0.871074
0.0376781,0.869363
0.0380548,0.86761
0.0384354,0.865776
0.0388197,0.863816
0.0392078,0.861676
0.0395999,0.859282
0.0399958,0.856515
0.0403958,0.853138
0.0407997,0.84889
0.0412076,0.844123
0.0416197,0.83975
0.0420358,0.83622
0.0424561,0.833486
0.0428807,0.831514
0.0433094,0.830332
0.0437425,0.830106
0.0441799,0.831546
0.0446216,0.835363
0.0450678,0.840168
0.0455184,0.842632
0.0459736,0.840353
0.0464333,0.834485
0.0468975,0.828622
0.0473665,0.824426
0.0478401,0.821603
0.0483185,0.820021
0.0488016,0.819896
0.0492896,0.821242
0.0497824,0.823304
0.0502802,0.825546
0.0507829,0.828171
0.0512907,0.831901
0.0518036,0.834838
0.0523216,0.833377
0.0528447,0.829407
0.0533731,0.827279
0.0539068,0.827432
0.0544458,0.82669
0.0549902,0.824603
0.0555401,0.827179
0.0560954,0.836419
0.0566563,0.847178
0.0572228,0.856583
0.057795,0.86484
0.0583729,0.871787
0.0589566,0.877083
0.0595461,0.881709
0.0601415,0.88723
0.0607428,0.893026
0.0613502,0.898025
0.0619637,0.903174
0.0625832,0.90997
0.063209,0.918486
0.063841,0.927667
0.0644794,0.937008
0.0651241,0.946536
0.0657753,0.955843
0.066433,0.966053
0.0670973,0.979802
0.0677682,0.995102
0.0684458,1.008374
0.0691302,1.02101
0.0698214,1.034766
0.0705196,1.049624
0.0712247,1.065902
0.0719369,1.084606
0.0726562,1.10556
0.0733827,1.12624
0.0741164,1.145158
0.0748575,1.162416
0.075606,1.17799
0.076362,1.191939
0.0771255,1.20437
0.0778967,1.215264
0.0786756,1.224503
0.0794623,1.231821
0.0802568,1.236636
0.0810593,1.23724
0.0818698,1.235379
0.0826885,1.238136
0.0835153,1.24801
0.0843503,1.260593
0.0851938,1.272048
0.0860456,1.281354
0.086906,1.289829
0.087775,1.301036
0.0886526,1.317938
0.0895391,1.338809
0.0904344,1.358004
0.0913386,1.377503
0.0922519,1.402077
0.0931744,1.42568
0.094106,1.442601
0.095047,1.446582
0.0959974,1.441629
0.0969573,1.445146
0.0979267,1.45689
0.0989059,1.470505
0.0998949,1.487711
0.100894,1.508878
0.101903,1.533322
0.102921,1.560693
0.103951,1.590166
0.10499,1.623784
0.10604,1.662533
0.1071,1.699263
0.108171,1.72842
0.109253,1.745129
0.110345,1.749212
0.111448,1.751025
0.112563,1.75456
0.113688,1.756805
0.114825,1.746277
0.115973,1.732785
0.117133,1.74317
0.118304,1.776007
0.119487,1.829849
0.120682,1.898678
0.121888,1.964435
0.123107,2.009692
0.124338,2.025857
0.125581,2.027361
0.126837,2.0246
0.128105,2.0159
0.129386,1.998814
0.13068,1.969362
0.131987,1.937598
0.133306,1.912352
0.134639,1.887895
0.135986,1.86161
0.137345,1.836981
0.138719,1.816682
0.140106,1.798334
0.141507,1.781051
0.142922,1.764089
0.144351,1.748911
0.145794,1.73703
0.147252,1.727671
0.148724,1.718598
0.150211,1.708028
0.151713,1.696399
0.15323,1.685403
0.154762,1.675988
0.15631,1.66756
0.157873,1.659934
0.159451,1.653007
0.161046,1.646665
0.162656,1.640837
0.164282,1.635374
0.165925,1.630056
0.167584,1.624859
0.16926,1.619821
0.170952,1.614983
0.172662,1.610173
0.174388,1.604986
0.176132,1.599814
0.177893,1.595135
0.179672,1.59077
0.181468,1.586642
0.183283,1.58271
0.185116,1.578947
0.186966,1.575331
0.188836,1.571839
0.190724,1.568439
0.192631,1.565172
0.194557,1.56207
0.196503,1.559103
0.198468,1.556257
0.200452,1.553522
0.202456,1.55089
0.204481,1.548354
0.206525,1.545909
0.20859,1.54355
0.210676,1.541272
0.212783,1.539071
0.21491,1.536943
0.217059,1.534884
0.21923,1.532892
0.221422,1.530963
0.223636,1.529095
0.225872,1.527285
0.22813,1.52553
0.230411,1.523828
0.232715,1.522177
0.235042,1.520575
0.237392,1.51902
0.239766,1.51751
0.242164,1.516043
0.244585,1.514619
0.247031,1.513234
0.249501,1.511889
0.251995,1.51058
0.254515,1.509308
0.25706,1.50807
0.25963,1.506866
0.262226,1.505695
0.264848,1.504555
0.267497,1.503445
0.270171,1.502364
0.272873,1.501312
0.275601,1.500287
0.278357,1.499288
0.28114,1.498315
0.283951,1.497367
0.286791,1.496443
0.289658,1.495543
0.292555,1.494665
0.29548,1.493809
0.298434,1.492974
0.301419,1.49216
0.304432,1.491366
0.307476,1.490591
0.310551,1.489835
0.313656,1.489098
0.316792,1.488379
0.31996,1.487676
0.323159,1.486991
0.326391,1.486322
0.329654,1.485668
0.33295,1.485031
0.33628,1.484408
0.339642,1.4838
0.343038,1.483206
0.346468,1.482626
0.349933,1.482059
0.353432,1.481506
0.356966,1.480965
0.360535,1.480437
0.36414,1.479921
0.367781,1.479416
0.371458,1.478923
0.375173,1.478442
0.378924,1.477971
0.382713,1.477511
0.38654,1.477061
0.390405,1.476621
0.394308,1.476191
0.398251,1.475771
0.402233,1.47536
0.406255,1.474958
0.410317,1.474565
0.41442,1.474181
0.418564,1.473805
0.422749,1.473438
0.426976,1.473078
0.431245,1.472727
0.435558,1.472383
0.439913,1.472047
0.444311,1.471718
0.448754,1.471396
0.453241,1.471081
0.457773,1.470773
0.46235,1.470471
0.466973,1.470176
0.471643,1.469888
0.476359,1.469605
0.481122,1.469329
0.485933,1.469058
0.490792,1.468794
0.495699,1.468535
0.500655,1.468281
0.505662,1.468033
0.510718,1.46779
0.515824,1.467553
0.520982,1.46732
0.526191,1.467092
0.531453,1.466869
0.536767,1.466651
0.542134,1.466437
0.547555,1.466228
0.55303,1.466023
0.55856,1.465823
0.564145,1.465627
0.569786,1.465434
0.575483,1.465246
0.581237,1.465062
0.587049,1.464882
0.592919,1.464705
0.598848,1.464532
0.604835,1.464363
0.610883,1.464197
0.616991,1.464034
0.623161,1.463875
0.629392,1.46372
0.635685,1.463567
0.642041,1.463418
0.648461,1.463271
0.654945,1.463128
0.661494,1.462988
0.668108,1.46285
0.674789,1.462716
0.681536,1.462584
0.688351,1.462455
0.695234,1.462328
0.702185,1.462204
0.709206,1.462083
0.716298,1.461964
0.72346,1.461847
0.730694,1.461733
0.738,1.461622
0.745379,1.461512
0.752833,1.461405
0.76036,1.4613
0.767963,1.461197
0.775642,1.461096
0.783398,1.460997
0.791231,1.4609
0.799142,1.460806
0.807133,1.460713
0.815204,1.460622
0.823355,1.460533
0.831588,1.460445
0.839903,1.46036
0.848301,1.460276
0.856783,1.460194
0.86535,1.460113
0.874003,1.460034
0.882742,1.459957
0.891569,1.459881
0.900483,1.459807
0.909487,1.459734
0.918581,1.459663
0.927766,1.459593
0.937043,1.459525
0.946413,1.459458
0.955876,1.459392
0.965434,1.459328
0.975087,1.459265
0.984837,1.459203
0.994684,1.459143
1.00463,1.459083
1.01468,1.459025
1.02482,1.458968
1.03507,1.458912
1.04542,1.458858
1.05587,1.458804
1.06643,1.458752
1.07709,1.4587
1.08786,1.45865
1.09874,1.4586
1.10973,1.458552
1.12082,1.458504
1.13203,1.458458
1.14335,1.458412
1.15478,1.458368
1.16633,1.458324
1.17799,1.458281
1.18977,1.458239
1.20167,1.458198
1.21368,1.458157
1.22582,1.458118
1.23807,1.458079
1.25045,1.458041
1.26296,1.458004
1.27558,1.457967
1.28834,1.457931
1.30122,1.457896
1.31423,1.457862
1.32737,1.457828
1.34065,1.457795
1.35405,1.457763
1.36759,1.457731
1.38127,1.4577
1.39508,1.457669
1.40903,1.45764
1.42311,1.45761
1.43734,1.457582
1.45172,1.457553
1.46623,1.457526
1.48089,1.457499
1.4957,1.457472
1.51066,1.457447
